trip_id,membership_type,bicycle_id,bike_type,checkout_datetime,checkout_date,checkout_time,checkout_kiosk_id,checkout_kiosk,return_kiosk_id,return_kiosk,trip_duration_minutes,month,year
29677146,Local365,21718,electric,2023-05-20T22:43:49.000,2023-05-20T00:00:00.000,2025-11-19 22:43:49,2499,2nd/Lavaca @ City Hall,2499,South 1st/Riverside @ Long Center,33,5,2023
29627411,Local365,21749,electric,2023-05-14T20:20:20.000,2023-05-14T00:00:00.000,2025-11-19 20:20:20,7187,South Congress/Mary,7187,One Texas Center,28,5,2023
29772823,Student Membership,19453,electric,2023-05-31T09:50:27.000,2023-05-31T00:00:00.000,2025-11-19 09:50:27,2552,3rd/West,2552,Barton Springs Pool,10,5,2023
29773313,Student Membership,19453,electric,2023-05-31T10:46:38.000,2023-05-31T00:00:00.000,2025-11-19 10:46:38,2572,Barton Springs Pool,2572,3rd/West,10,5,2023
29774627,Student Membership,21789,electric,2023-05-31T13:05:56.000,2023-05-31T00:00:00.000,2025-11-19 13:05:56,2501,5th/Bowie,2501,3rd/West,2,5,2023
29689678,Student Membership,21772,electric,2023-05-22T12:16:19.000,2023-05-22T00:00:00.000,2025-11-19 12:16:19,2572,Barton Springs Pool,2572,3rd/West,9,5,2023
29724033,Student Membership,21707,electric,2023-05-26T12:56:56.000,2023-05-26T00:00:00.000,2025-11-19 12:56:56,2552,3rd/West,2552,5th/Bowie,2,5,2023
29724242,Student Membership,16946,electric,2023-05-26T13:15:53.000,2023-05-26T00:00:00.000,2025-11-19 13:15:53,2501,5th/Bowie,2501,3rd/West,2,5,2023
29565980,Student Membership,21551,electric,2023-05-08T13:16:24.000,2023-05-08T00:00:00.000,2025-11-19 13:16:24,2552,3rd/West,2552,Barton Springs Pool,9,5,2023
29696230,Explorer,5,classic,2023-05-23T07:15:13.000,2023-05-23T00:00:00.000,2025-11-19 07:15:13,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2566,Rainey/Cummings,46,5,2023
29557198,3-Day Weekender,21576,electric,2023-05-07T14:25:47.000,2023-05-07T00:00:00.000,2025-11-19 14:25:47,2575,Riverside/South Lamar,2575,Zilker Park,42,5,2023
29556302,3-Day Weekender,21576,electric,2023-05-07T13:30:07.000,2023-05-07T00:00:00.000,2025-11-19 13:30:07,4061,Lakeshore/Austin Hostel,4061,Riverside/South Lamar,55,5,2023
29551831,3-Day Weekender,21650,electric,2023-05-06T22:41:20.000,2023-05-06T00:00:00.000,2025-11-19 22:41:20,3794,4th/Sabine,3794,Plaza Saltillo,9,5,2023
29551828,3-Day Weekender,19328,electric,2023-05-06T22:41:12.000,2023-05-06T00:00:00.000,2025-11-19 22:41:12,3794,4th/Sabine,3794,Plaza Saltillo,8,5,2023
29507623,Local365,19943,electric,2023-05-02T21:11:56.000,2023-05-02T00:00:00.000,2025-11-19 21:11:56,7190,Rio Grande/12th,7190,3rd/Nueces,14,5,2023
29506484,Local365,19849,electric,2023-05-02T18:49:29.000,2023-05-02T00:00:00.000,2025-11-19 18:49:29,3685,9th/Henderson,3685,Rio Grande/12th,12,5,2023
29585748,Local365,21755,electric,2023-05-10T11:52:39.000,2023-05-10T00:00:00.000,2025-11-19 11:52:39,2497,11th/Congress @ The Texas Capitol,2497,6th/Congress,5,5,2023
29772599,Local365,21553,electric,2023-05-31T09:25:35.000,2023-05-31T00:00:00.000,2025-11-19 09:25:35,3293,East 2nd/Pedernales,3293,Plaza Saltillo,6,5,2023
29777747,Local365,21691,electric,2023-05-31T18:07:42.000,2023-05-31T00:00:00.000,2025-11-19 18:07:42,2542,Plaza Saltillo,2542,East 2nd/Pedernales,6,5,2023
29659857,Local365,21464,electric,2023-05-19T09:16:05.000,2023-05-19T00:00:00.000,2025-11-19 09:16:05,2499,2nd/Lavaca @ City Hall,2499,Rio Grande/12th,9,5,2023
29777473,Local365,288,classic,2023-05-31T17:38:34.000,2023-05-31T00:00:00.000,2025-11-19 17:38:34,3619,6th/Congress,3619,South Congress @ Bouldin Creek,8,5,2023
29648118,Local365,21740,electric,2023-05-17T16:45:13.000,2023-05-17T00:00:00.000,2025-11-19 16:45:13,3619,6th/Congress,3619,South Congress @ Bouldin Creek,6,5,2023
